Date;Time of day;Total[MWh]
Jan 2, 2020;8:30 PM;14,469
Jan 2, 2020;8:45 PM;14,271
Jan 2, 2020;9:00 PM;14,067
Jan 2, 2020;9:15 PM;14,021
Jan 2, 2020;9:30 PM;13,835
Jan 2, 2020;9:45 PM;13,738
Jan 2, 2020;10:00 PM;13,818
Jan 2, 2020;10:15 PM;13,675
Jan 2, 2020;10:30 PM;13,374
Jan 2, 2020;10:45 PM;13,236
Jan 2, 2020;11:00 PM;13,029
Jan 2, 2020;11:15 PM;12,770
Jan 2, 2020;11:30 PM;12,531
Jan 2, 2020;11:45 PM;12,403
Jan 3, 2020;12:00 AM;12,109
Jan 3, 2020;12:15 AM;11,925
Jan 3, 2020;12:30 AM;11,869
Jan 3, 2020;12:45 AM;11,739
Jan 3, 2020;1:00 AM;11,639
Jan 3, 2020;1:15 AM;11,485
Jan 3, 2020;1:30 AM;11,487
Jan 3, 2020;1:45 AM;11,461
Jan 3, 2020;2:00 AM;11,443
Jan 3, 2020;2:15 AM;11,355
Jan 3, 2020;2:30 AM;11,372
Jan 3, 2020;2:45 AM;11,315
Jan 3, 2020;3:00 AM;11,344
Jan 3, 2020;3:15 AM;11,301
Jan 3, 2020;3:30 AM;11,321
Jan 3, 2020;3:45 AM;11,335
Jan 3, 2020;4:00 AM;11,426
Jan 3, 2020;4:15 AM;11,456
Jan 3, 2020;4:30 AM;11,550
Jan 3, 2020;4:45 AM;11,640
Jan 3, 2020;5:00 AM;11,783
Jan 3, 2020;5:15 AM;11,881
Jan 3, 2020;5:30 AM;12,034
Jan 3, 2020;5:45 AM;12,197
Jan 3, 2020;6:00 AM;12,510
Jan 3, 2020;6:15 AM;12,796
Jan 3, 2020;6:30 AM;13,077
Jan 3, 2020;6:45 AM;13,404
Jan 3, 2020;7:00 AM;13,623
Jan 3, 2020;7:15 AM;13,789
Jan 3, 2020;7:30 AM;14,148
Jan 3, 2020;7:45 AM;14,375
Jan 3, 2020;8:00 AM;14,685
Jan 3, 2020;8:15 AM;14,872
Jan 3, 2020;8:30 AM;14,894
Jan 3, 2020;8:45 AM;15,045
Jan 3, 2020;9:00 AM;15,097
Jan 3, 2020;9:15 AM;15,199
Jan 3, 2020;9:30 AM;15,298
Jan 3, 2020;9:45 AM;15,295
Jan 3, 2020;10:00 AM;15,281
Jan 3, 2020;10:15 AM;15,446
Jan 3, 2020;10:30 AM;15,459
Jan 3, 2020;10:45 AM;15,565
Jan 3, 2020;11:00 AM;15,675
Jan 3, 2020;11:15 AM;15,767
Jan 3, 2020;11:30 AM;15,852
Jan 3, 2020;11:45 AM;15,911
Jan 3, 2020;12:00 PM;15,924
Jan 3, 2020;12:15 PM;15,862
Jan 3, 2020;12:30 PM;15,760
Jan 3, 2020;12:45 PM;15,684
Jan 3, 2020;1:00 PM;15,615
Jan 3, 2020;1:15 PM;15,459
Jan 3, 2020;1:30 PM;15,309
Jan 3, 2020;1:45 PM;15,194
Jan 3, 2020;2:00 PM;15,190
Jan 3, 2020;2:15 PM;15,130
Jan 3, 2020;2:30 PM;15,082
Jan 3, 2020;2:45 PM;15,048
Jan 3, 2020;3:00 PM;15,052
Jan 3, 2020;3:15 PM;15,000
Jan 3, 2020;3:30 PM;14,993
Jan 3, 2020;3:45 PM;14,938
Jan 3, 2020;4:00 PM;14,995
Jan 3, 2020;4:15 PM;14,974
Jan 3, 2020;4:30 PM;15,285
Jan 3, 2020;4:45 PM;15,504
Jan 3, 2020;5:00 PM;15,571
Jan 3, 2020;5:15 PM;15,532
Jan 3, 2020;5:30 PM;15,654
Jan 3, 2020;5:45 PM;15,734
Jan 3, 2020;6:00 PM;15,599
Jan 3, 2020;6:15 PM;15,527
Jan 3, 2020;6:30 PM;15,509
Jan 3, 2020;6:45 PM;15,522
Jan 3, 2020;7:00 PM;15,423
Jan 3, 2020;7:15 PM;15,355
Jan 3, 2020;7:30 PM;15,210
Jan 3, 2020;7:45 PM;14,944
Jan 3, 2020;8:00 PM;14,595
Jan 3, 2020;8:15 PM;14,330
Jan 3, 2020;8:30 PM;14,091
Jan 3, 2020;8:45 PM;13,895
Jan 3, 2020;9:00 PM;13,697
Jan 3, 2020;9:15 PM;13,545
Jan 3, 2020;9:30 PM;13,342
Jan 3, 2020;9:45 PM;13,222
Jan 3, 2020;10:00 PM;13,322
Jan 3, 2020;10:15 PM;13,234
Jan 3, 2020;10:30 PM;13,088
Jan 3, 2020;10:45 PM;12,897
Jan 3, 2020;11:00 PM;12,644
Jan 3, 2020;11:15 PM;12,450
Jan 3, 2020;11:30 PM;12,189
Jan 3, 2020;11:45 PM;12,077
Jan 4, 2020;12:00 AM;11,918
Jan 4, 2020;12:15 AM;11,665
Jan 4, 2020;12:30 AM;11,563
Jan 4, 2020;12:45 AM;11,626
Jan 4, 2020;1:00 AM;11,376
Jan 4, 2020;1:15 AM;11,293
Jan 4, 2020;1:30 AM;11,163
Jan 4, 2020;1:45 AM;11,171
Jan 4, 2020;2:00 AM;11,141
Jan 4, 2020;2:15 AM;11,041
Jan 4, 2020;2:30 AM;11,131
Jan 4, 2020;2:45 AM;11,032
Jan 4, 2020;3:00 AM;10,951
Jan 4, 2020;3:15 AM;10,921
Jan 4, 2020;3:30 AM;10,932
Jan 4, 2020;3:45 AM;10,997
Jan 4, 2020;4:00 AM;11,060
Jan 4, 2020;4:15 AM;11,091
Jan 4, 2020;4:30 AM;11,167
Jan 4, 2020;4:45 AM;11,184
Jan 4, 2020;5:00 AM;11,269
Jan 4, 2020;5:15 AM;11,262
Jan 4, 2020;5:30 AM;11,215
Jan 4, 2020;5:45 AM;11,303
Jan 4, 2020;6:00 AM;11,369
Jan 4, 2020;6:15 AM;11,484
Jan 4, 2020;6:30 AM;11,575
Jan 4, 2020;6:45 AM;11,710
Jan 4, 2020;7:00 AM;11,890
Jan 4, 2020;7:15 AM;12,061
Jan 4, 2020;7:30 AM;12,385
Jan 4, 2020;7:45 AM;12,541
Jan 4, 2020;8:00 AM;12,733
Jan 4, 2020;8:15 AM;12,848
Jan 4, 2020;8:30 AM;13,041
Jan 4, 2020;8:45 AM;13,254
Jan 4, 2020;9:00 AM;13,581
Jan 4, 2020;9:15 AM;13,754
Jan 4, 2020;9:30 AM;13,922
Jan 4, 2020;9:45 AM;14,081
Jan 4, 2020;10:00 AM;14,238
Jan 4, 2020;10:15 AM;14,334
Jan 4, 2020;10:30 AM;14,424
Jan 4, 2020;10:45 AM;14,588
Jan 4, 2020;11:00 AM;14,685
Jan 4, 2020;11:15 AM;14,900
Jan 4, 2020;11:30 AM;14,925
Jan 4, 2020;11:45 AM;14,934
Jan 4, 2020;12:00 PM;14,968
Jan 4, 2020;12:15 PM;14,978
Jan 4, 2020;12:30 PM;15,029
Jan 4, 2020;12:45 PM;14,898
Jan 4, 2020;1:00 PM;14,779
Jan 4, 2020;1:15 PM;14,645
Jan 4, 2020;1:30 PM;14,567
Jan 4, 2020;1:45 PM;14,509
Jan 4, 2020;2:00 PM;14,530
Jan 4, 2020;2:15 PM;14,487
Jan 4, 2020;2:30 PM;14,353
Jan 4, 2020;2:45 PM;14,255
Jan 4, 2020;3:00 PM;14,188
Jan 4, 2020;3:15 PM;14,194
Jan 4, 2020;3:30 PM;14,155
Jan 4, 2020;3:45 PM;14,114
Jan 4, 2020;4:00 PM;14,359
Jan 4, 2020;4:15 PM;14,434
Jan 4, 2020;4:30 PM;14,586
Jan 4, 2020;4:45 PM;14,765
Jan 4, 2020;5:00 PM;14,913
Jan 4, 2020;5:15 PM;15,114
Jan 4, 2020;5:30 PM;15,168
Jan 4, 2020;5:45 PM;15,242
Jan 4, 2020;6:00 PM;15,204
Jan 4, 2020;6:15 PM;15,060
Jan 4, 2020;6:30 PM;14,914
Jan 4, 2020;6:45 PM;14,794
Jan 4, 2020;7:00 PM;14,777
Jan 4, 2020;7:15 PM;14,604
Jan 4, 2020;7:30 PM;14,465
Jan 4, 2020;7:45 PM;14,247
Jan 4, 2020;8:00 PM;13,979
Jan 4, 2020;8:15 PM;13,765
Jan 4, 2020;8:30 PM;13,520
Jan 4, 2020;8:45 PM;13,340
Jan 4, 2020;9:00 PM;13,140
