"","country","t","date","actual","fct","dif","index","index_pc"
"413","ES",100,2020-06-21,1.647027,1.74315135155487,-5.8362341087832,90.0708850946852,-9.92911490531483
"414","ES",101,2020-06-22,1.970634,2.08431063967899,-5.76853132945983,90.1187890395263,-9.88121096047368
"415","ES",102,2020-06-23,2.040375,2.17719007323064,-6.70538862859234,90.1585656364671,-9.84143436353291
"416","ES",103,2020-06-24,1.920117,2.15632349205025,-12.3016718278236,90.1465117250535,-9.85348827494651
"417","ES",104,2020-06-25,2.05296,2.13731240422299,-4.10881869218078,90.2092628578261,-9.79073714217387
"418","ES",105,2020-06-26,2.012781,2.14044551067047,-6.34269255673975,90.2495430518023,-9.75045694819768
"419","ES",106,2020-06-27,1.828767,1.92747532951702,-5.3975344872813,90.2930153902404,-9.70698460975956
"420","ES",107,2020-06-28,1.742802,1.79790058609443,-3.16149431171341,90.3506929766701,-9.64930702332985
"421","ES",108,2020-06-29,2.08431,2.12632155332756,-2.01560964192278,90.4286947146248,-9.57130528537519
"422","FL",0,2020-04-02,0.538179,0.567186516809733,-5.38993844236447,100,0
"423","FL",1,2020-04-03,0.553877,0.583704128137001,-5.38515376825564,94.8879031031261,-5.11209689687389
"424","FL",2,2020-04-04,0.580402,0.586063371487349,-0.975422463628489,96.2868322463429,-3.71316775365713
"425","FL",3,2020-04-05,0.530678,0.525577512275955,0.961126657605078,97.3748198442166,-2.62518015578335
"426","FL",4,2020-04-06,0.570816,0.596599977840457,-4.5170383872311,97.0207908815897,-2.97920911841032
"427","FL",5,2020-04-07,0.597081,0.625649003827546,-4.78461110427993,96.7358773374883,-3.2641226625117
"428","FL",6,2020-04-08,0.674468,0.654156819917852,3.01143717450605,97.7425043473849,-2.25749565261508
"429","FL",7,2020-04-09,0.7073,0.677380663852093,4.23007721587824,98.6812126145914,-1.31878738540856
"430","FL",8,2020-04-10,0.664489,0.604535879326698,9.02243990093167,99.9342562342047,-0.0657437657953324
"431","FL",9,2020-04-11,0.584979,0.576744395870218,1.40767516949874,100.077876684055,0.0778766840548712
"432","FL",10,2020-04-12,0.675846,0.629748604835541,6.82069512351314,100.766039967175,0.766039967175189
"433","FL",11,2020-04-13,0.754839,0.670234373139001,11.2083009570252,101.855035909744,1.85503590974449
"434","FL",12,2020-04-14,0.727619,0.67456089576015,7.29201742118467,102.363616372345,2.36361637234451
"435","FL",13,2020-04-15,0.712162,0.662108740051863,7.02835309215271,102.762070735453,2.76207073545272
"436","FL",14,2020-04-16,0.586981,0.573206522311926,2.34666500075375,102.739720461889,2.73972046188868
"437","FL",15,2020-04-17,0.611256,0.611074452267529,0.0297007689856858,102.571057933583,2.57105793358338
"438","FL",16,2020-04-18,0.617272,0.592479237012556,4.01650536350974,102.662881662061,2.66288166206105
"439","FL",17,2020-04-19,0.674826,0.650829990014411,3.55588106942957,102.723135443319,2.72313544331899
"440","FL",18,2020-04-20,0.703172,0.631057338947144,10.2556218183966,103.19290874501,3.19290874501
"441","FL",19,2020-04-21,0.66497,0.641863657970821,3.47479465677842,103.214086463279,3.21408646327887
"442","FL",20,2020-04-22,0.628019,0.636640516295685,-1.37281137922339,102.989872522419,2.98987252241879
"443","FL",21,2020-04-23,0.688904,0.677265875898371,1.68936805442105,102.926780197757,2.92678019775668
"444","FL",22,2020-04-24,0.652692,0.608645433429489,6.74844590871513,103.110775954047,3.11077595404674
"445","FL",23,2020-04-25,0.641758,0.630041912982126,1.82562383606818,103.057824272051,3.05782427205052
"446","FL",24,2020-04-26,0.629338,0.610945899783192,2.9224518806758,103.055955991247,3.05595599124732
"447","FL",25,2020-04-27,0.558671,0.603323108003726,-7.99255876960252,102.664135927477,2.66413592747683
"448","FL",26,2020-04-28,0.573133,0.631187499082209,-10.1293240979335,102.21669056951,2.21669056951025
"449","FL",27,2020-04-29,0.632608,0.654264461733095,-3.42336197662618,102.008723003742,2.00872300374242
"450","FL",28,2020-04-30,0.599665,0.622151322502164,-3.74981406321268,101.814469152222,1.81446915222239
"451","FL",29,2020-05-01,0.545304,0.616642057431906,-13.082254564776,101.371392739707,1.37139273970725
"452","FL",30,2020-05-02,0.565688,0.624195867731049,-10.342780425084,101.022988508702,1.02298850870153
"453","FL",31,2020-05-03,0.611832,0.630598980723582,-3.06734213372003,100.896141968053,0.89614196805266
"454","FL",32,2020-05-04,0.661163,0.672190010038393,-1.66782019538198,100.813181295189,0.813181295188656
"455","FL",33,2020-05-05,0.685832,0.691873973239542,-0.880969864273131,100.758258669553,0.7582586695533
"456","FL",34,2020-05-06,0.682501,0.684739399176555,-0.327970094777133,100.724375061892,0.724375061892474
"457","FL",35,2020-05-07,0.587196,0.608449218973505,-3.61944205571985,100.610519497176,0.610519497176256
"458","FL",36,2020-05-08,0.573404,0.639082577872951,-11.4541541169841,100.310306781882,0.310306781881593
"459","FL",37,2020-05-09,0.607358,0.629976291235278,-3.72404598857312,100.207088507172,0.207088507171932
"460","FL",38,2020-05-10,0.552581,0.596281317664162,-7.9084003366316,100.022952650797,0.0229526507969666
"461","FL",39,2020-05-11,0.61405,0.670094841543785,-9.12708110801804,99.7988157080276,-0.201184291972439
"462","FL",40,2020-05-12,0.620666,0.667626028566465,-7.56607073151496,99.6216007293633,-0.378399270636692
"463","FL",41,2020-05-13,0.630515,0.676791667146047,-7.33950296916752,99.4561223720049,-0.543877627995101
"464","FL",42,2020-05-14,0.629465,0.670515644829274,-6.52151348037997,99.3180410616479,-0.681958938352082
"465","FL",43,2020-05-15,0.63784,0.672163595406818,-5.38122341132857,99.2109112559914,-0.789088744008623
"466","FL",44,2020-05-16,0.66711,0.682545559550851,-2.31379525878061,99.1755785868496,-0.824421413150404
"467","FL",45,2020-05-17,0.694632,0.692869281487227,0.253762929547346,99.2012338450075,-0.798766154992535
"468","FL",46,2020-05-18,0.648052,0.6854026527131,-5.76352711095715,99.0943440598892,-0.905655940110762
"469","FL",47,2020-05-19,0.68553,0.724596538110474,-5.69873500947792,98.9879329695658,-1.01206703043422
"470","FL",48,2020-05-20,0.712163,0.721118337931403,-1.25748430224582,98.9826330113374,-1.01736698866264
"471","FL",49,2020-05-21,0.744807,0.741607466106732,0.429578923569222,99.0162002619847,-0.983799738015321
"472","FL",50,2020-05-22,0.7454,0.749849865238226,-0.596976822944235,99.0251358396113,-0.974864160388719
"473","FL",51,2020-05-23,0.724941,0.712216944046211,1.75518503627046,99.0838953797633,-0.916104620236709
"474","FL",52,2020-05-24,0.65083,0.670387671954012,-3.00503540924854,99.0445989260374,-0.955401073962634
"475","FL",53,2020-05-25,0.60794,0.653689569261398,-7.52534283998393,98.9310638931247,-1.06893610687528
"476","FL",54,2020-05-26,0.678719,0.702996491045624,-3.5769576283593,98.8838414151199,-1.11615858488014
"477","FL",55,2020-05-27,0.725592,0.722091562160616,0.48242508729199,98.9157579854264,-1.08424201457363
"478","FL",56,2020-05-28,0.74607,0.745349446994986,0.0965798122178366,98.9395694399222,-1.06043056007779
"479","FL",57,2020-05-29,0.742353,0.720696787063677,2.91723922935889,99.0173139729686,-0.982686027031448
