date,cons
25/02/2016,1633558
26/02/2016,1657588
27/02/2016,1554019
28/02/2016,1507464
29/02/2016,1713784
,
01/03/2016,1718950
02/03/2016,1644057
03/03/2016,1679881
04/03/2016,1641163
05/03/2016,1516325
06/03/2016,1484472
07/03/2016,1684963
08/03/2016,1719547
09/03/2016,1694402
10/03/2016,1667434
11/03/2016,1618697
12/03/2016,1453235
13/03/2016,1395177
14/03/2016,1560947
15/03/2016,1557052
16/03/2016,1615563
17/03/2016,1601269
18/03/2016,1547824
19/03/2016,1420025
20/03/2016,1353833
21/03/2016,1500256
22/03/2016,1491737
23/03/2016,1517464
24/03/2016,1500321
25/03/2016,1476516
26/03/2016,1289691
27/03/2016,1176684
28/03/2016,1260745
29/03/2016,1425294
30/03/2016,1417569
31/03/2016,1427912
,
01/04/2016,1463656
02/04/2016,1325694
03/04/2016,1166870
04/04/2016,1319191
05/04/2016,1343544
06/04/2016,1353814
07/04/2016,1385743
08/04/2016,1414209
09/04/2016,1282090
10/04/2016,1181553
11/04/2016,1302044
12/04/2016,1305481
13/04/2016,1296327
14/04/2016,1300910
15/04/2016,1269128
16/04/2016,1143846
17/04/2016,1123453
18/04/2016,1324415
19/04/2016,1314472
20/04/2016,1270111
21/04/2016,1248616
22/04/2016,1225077
23/04/2016,1151458
24/04/2016,1176089
25/04/2016,1397055
26/04/2016,1410415
27/04/2016,1432776
28/04/2016,1403397
29/04/2016,1366885
30/04/2016,1246696
,
01/05/2016,1174319
02/05/2016,1291767
03/05/2016,1267425
04/05/2016,1240851
05/05/2016,1046556
06/05/2016,1067252
07/05/2016,991462
08/05/2016,938240
09/05/2016,1129577
10/05/2016,1161412
11/05/2016,1173788
12/05/2016,1183819
13/05/2016,1177807
14/05/2016,1058798
15/05/2016,999526
16/05/2016,1035156
17/05/2016,1168123
18/05/2016,1177942
19/05/2016,1193418
20/05/2016,1173011
21/05/2016,1015251
22/05/2016,958446
23/05/2016,1161560
24/05/2016,1184414
25/05/2016,1160275
26/05/2016,1134933
27/05/2016,1115841
28/05/2016,983294
29/05/2016,923985
30/05/2016,1127308
31/05/2016,1176756
,
01/06/2016,1168405
02/06/2016,1181054
03/06/2016,1167874
04/06/2016,1023594
05/06/2016,942481
06/06/2016,1102980
07/06/2016,1118399
08/06/2016,1119228
09/06/2016,1119088
10/06/2016,1103410
11/06/2016,977999
12/06/2016,922677
13/06/2016,1098562
14/06/2016,1116418
15/06/2016,1133422
16/06/2016,1139643
17/06/2016,1128042
18/06/2016,999364
19/06/2016,935493
20/06/2016,1118252
21/06/2016,1150480
22/06/2016,1159603
23/06/2016,1164371
24/06/2016,1139570
25/06/2016,996426
26/06/2016,929514
27/06/2016,1106999
28/06/2016,1136476
29/06/2016,1146289
30/06/2016,1155009
,
01/07/2016,1144697
02/07/2016,1003402
03/07/2016,937942
04/07/2016,1124318
05/07/2016,1154744
06/07/2016,1158731
07/07/2016,1171194
08/07/2016,1165486
09/07/2016,1039488
10/07/2016,977564
11/07/2016,1140807
12/07/2016,1148067
13/07/2016,1129638
14/07/2016,975037
15/07/2016,1041216
16/07/2016,982019
17/07/2016,935977
18/07/2016,1137074
19/07/2016,1186403
20/07/2016,1184999
21/07/2016,1174599
22/07/2016,1140940
