date,hour,value
20170116,6,25423.391
20170116,7,31785.401
20170116,8,38374.457
20170116,9,42844.725
20170116,10,44578.545
20170116,11,44200.376
20170116,12,43428.035
20170116,13,41343.026
20170116,14,40919.434
20170116,15,43068.814
20170116,16,43903.806
20170116,17,44622.138
20170116,18,46575.652
20170116,19,46017.867
20170116,20,45052.062
20170116,21,42674.966
20170116,22,39778.693
20170116,23,35679.954
20170116,24,32196.5
20170117,1,28783.254
20170117,2,27847.172
20170117,3,26947.635
20170117,4,26564.549
20170117,5,26652.318
20170117,6,28506.04
20170117,7,33135.317
20170117,8,39277.61
20170117,9,43999.096
20170117,10,45455.948
20170117,11,45493.246
20170117,12,44749.169
20170117,13,42394.012
20170117,14,41596.807
20170117,15,43709.704
20170117,16,44627.374
20170117,17,45653.045
20170117,18,47247.133
20170117,19,47252.265
20170117,20,45951.14
20170117,21,43140.992
20170117,22,40018.131
20170117,23,35971.555
20170117,24,32190.227
20170118,1,30002.746
20170118,2,28320.248
20170118,3,27546.222
20170118,4,27356.447
20170118,5,27392.946
20170118,6,29231.308
20170118,7,34139.083
20170118,8,40684.909
20170118,9,44942.1
20170118,10,46297.052
20170118,11,45670.563
20170118,12,44812.364
20170118,13,42595.679
20170118,14,42123.842
20170118,15,43773.049
20170118,16,44796.072
20170118,17,45173.066
20170118,18,47263.064
20170118,19,46877.729
20170118,20,45497.222
20170118,21,42722.079
20170118,22,39693.749
20170118,23,35813.539
20170118,24,31956.464
20170119,1,29543.254
20170119,2,27723.536
20170119,3,26940.819
20170119,4,26705.792
20170119,5,26864.111
20170119,6,28511.237
20170119,7,33295.444
20170119,8,40004.634
20170119,9,44279.042
20170119,10,45522.438
20170119,11,44789.546
20170119,12,44283.699
20170119,13,42052.121
20170119,14,41105.547
20170119,15,42824.709
20170119,16,43741.85
20170119,17,44033.974
20170119,18,46127.762
20170119,19,45839.068
20170119,20,44580.09
20170119,21,42024.649
20170119,22,39421.675
20170119,23,35344.52
20170119,24,32004.852
20170120,1,29305.628
20170120,2,27806.378
20170120,3,26731.842
20170120,4,26645.065
20170120,5,26922.858
20170120,6,28594.704
20170120,7,33736.117
20170120,8,39861.463
20170120,9,43810.875
20170120,10,45445.26
20170120,11,45337.296
20170120,12,44547.891
20170120,13,42465.91
20170120,14,41386.549
20170120,15,43207.881
20170120,16,43896.308
20170120,17,45190.11
20170120,18,47044.751
20170120,19,46876.653
20170120,20,45316.659
20170120,21,42736.397
20170120,22,39289.784
20170120,23,35503.854
20170120,24,31675.479
20170121,1,28681.137
20170121,2,27025.77
20170121,3,25844.491
20170121,4,25526.542
20170121,5,25427.981
20170121,6,26029.602
20170121,7,28279.976
20170121,8,32344.895
20170121,9,34970.759
20170121,10,36655.964
20170121,11,36869.805
20170121,12,35892.26
20170121,13,35134.054
20170121,14,33705.357
20170121,15,33206.578
20170121,16,33420.968
20170121,17,34848.318
20170121,18,37794.314
20170121,19,39987.752
20170121,20,40043.026
20170121,21,37899.201
20170121,22,35050.773
20170121,23,32540.747
20170121,24,30138.634
20170122,1,28071.911
20170122,2,26014.729
20170122,3,25595.062
20170122,4,24660.379
20170122,5,24250.436
20170122,6,24782.696
20170122,7,25370.265
20170122,8,27623.097
20170122,9,29412.053
20170122,10,31411.234
20170122,11,31983.275
20170122,12,32164
20170122,13,31940.603
20170122,14,30894.407
20170122,15,29880.609
20170122,16,29799.592
20170122,17,30935.482
20170122,18,34388.447
20170122,19,36207.829
20170122,20,36602.231
20170122,21,35864.43
20170122,22,34305.024
20170122,23,31583.597
20170122,24,29446.892
20170123,1,26941.048
20170123,2,25603.029
20170123,3,24603.454
20170123,4,24156.514
20170123,5,24365.217
20170123,6,26186.218
20170123,7,31553.015
20170123,8,37946.127
20170123,9,42488.769
20170123,10,44231.857
20170123,11,44509.74
20170123,12,44158.946
20170123,13,42255.228
20170123,14,41908.824
20170123,15,43518.847
20170123,16,44297.006
20170123,17,45511.579
20170123,18,46372.674
20170123,19,45834.649
20170123,20,44310.362
20170123,21,41799.63
20170123,22,39589.138
20170123,23,35710.529
20170123,24,32169.725
20170124,1,28469.464
20170124,2,26830.606
20170124,3,26063.759
20170124,4,25928.833
20170124,5,26193.188
20170124,6,27970.456
20170124,7,33015.409
20170124,8,39791.159
20170124,9,43345.757
20170124,10,45026.286
20170124,11,43601.066
20170124,12,43264.967
20170124,13,41875.356
20170124,14,40611.671
20170124,15,42241.739
20170124,16,42940.719
20170124,17,43883.636
20170124,18,45299.551
20170124,19,45581.337
20170124,20,45460.605
20170124,21,41806.626
20170124,22,39069.766
20170124,23,35079.157
20170124,24,31266.603
20170125,1,30041.678
20170125,2,28387.838
20170125,3,27843.363
20170125,4,27342.413
20170125,5,27439.327
20170125,6,29560.653
20170125,7,34518.272
20170125,8,41376.298
20170125,9,45115.308
20170125,10,46395.563
20170125,11,45995.591
20170125,12,45332.917
20170125,13,43192.142
20170125,14,42512.197
20170125,15,44085.048
20170125,16,44829.408
20170125,17,45894.691
20170125,18,47333.78
20170125,19,47996.207
20170125,20,46457.91
20170125,21,44383.896
20170125,22,40523.925
20170125,23,36639.944
20170125,24,32734.391
20170126,1,30679.717
20170126,2,29245.738
20170126,3,28470.787
20170126,4,28276.336
20170126,5,28414.845
20170126,6,29913.978
20170126,7,35061.947
20170126,8,41178.082
20170126,9,45502.219
20170126,10,45987.698
20170126,11,45843.115
20170126,12,45491.173
20170126,13,43477.381
20170126,14,42320.472
20170126,15,44177.828
20170126,16,45485.414
20170126,17,46529.475
20170126,18,47600.374
20170126,19,47665.115
20170126,20,46944.947
20170126,21,44783.86
20170126,22,40937.278
20170126,23,37247.503
20170126,24,33688.969
20170127,1,29228.173
20170127,2,27576.816
20170127,3,26739.097
20170127,4,26533.566
20170127,5,26820.236
20170127,6,28667.547
20170127,7,34418.837
20170127,8,40851.123
20170127,9,44686.81
20170127,10,45648.439
20170127,11,44510.359
20170127,12,44086.358
20170127,13,42608.199
20170127,14,41636.762
20170127,15,41738.845
20170127,16,42771.98
20170127,17,44392.222
20170127,18,46313.017
20170127,19,46424.071
20170127,20,44992.271
20170127,21,42375.89
20170127,22,39078.738
20170127,23,35570.506
20170127,24,31707.679
20170128,1,29681.749
20170128,2,27920.433
20170128,3,26618.22
20170128,4,26024.985
20170128,5,26330.554
20170128,6,26965.045
20170128,7,29601.594
20170128,8,33311.622
20170128,9,35588.953
20170128,10,36835.516
20170128,11,36349.795
20170128,12,35581.372
20170128,13,34156.583
20170128,14,33257.575
20170128,15,32817.718
20170128,16,33305.078
20170128,17,34740.009
20170128,18,37532.62
20170128,19,38968.83
20170128,20,39063.619
20170128,21,36958.917
20170128,22,34653.352
20170128,23,32352.712
20170128,24,30077.674
20170129,1,27616.24
20170129,2,25765.687
20170129,3,24011.256
20170129,4,22958.188
20170129,5,22804.615
20170129,6,23434.035
20170129,7,24485.338
20170129,8,25954.517
20170129,9,27580.294
20170129,10,29518.359
20170129,11,30323.341
20170129,12,30828.07
20170129,13,31066.503
20170129,14,29987.559
20170129,15,27891.593
20170129,16,28589.489
20170129,17,29861.913
20170129,18,33225.659
20170129,19,35169.924
20170129,20,35895.341
20170129,21,35129.138
20170129,22,33084.09
20170129,23,30966.718
20170129,24,28654.455
20170130,1,25077.603
20170130,2,23588.006
20170130,3,22962.26
20170130,4,22958.096
20170130,5,23478.164
20170130,6,25815.077
20170130,7,32245.943
20170130,8,39139.284
20170130,9,43255.966
20170130,10,44558.433
20170130,11,43616.409
20170130,12,43292.513
20170130,13,40846.465
20170130,14,40144.492
20170130,15,42010.024
20170130,16,42512.473
20170130,17,43580.68
20170130,18,45276.822
20170130,19,45700.772
20170130,20,44623.78
20170130,21,42247.011
20170130,22,39492.377
20170130,23,35860.387
20170130,24,32146.935
20170131,1,29357.724
20170131,2,27481.858
20170131,3,26285.003
20170131,4,25985.509
20170131,5,26334.66
20170131,6,28562.273
20170131,7,33579.362
20170131,8,39927.578
20170131,9,44253.92
20170131,10,45320.448
20170131,11,44704.383
20170131,12,44090.808
20170131,13,41506.356
20170131,14,40955.863
20170131,15,42653.917
20170131,16,43257.196
20170131,17,44478.108
20170131,18,45984.448
20170131,19,46487.384
20170131,20,45337.96
20170131,21,42957.285
20170131,22,40266.385
20170131,23,36476.384
20170131,24,32958.338
20170201,1,29340.299
20170201,2,27364.081
20170201,3,26562.828
20170201,4,26344.785
20170201,5,26506.993
20170201,6,28358.814
20170201,7,33261.691
20170201,8,40321.908
20170201,9,44955.844
20170201,10,45525.299
20170201,11,45587.468
20170201,12,44889.053
20170201,13,42123.757
20170201,14,41884.433
20170201,15,43124.582
20170201,16,43767.405
20170201,17,44675.327
20170201,18,45450.729
20170201,19,47147.501
20170201,20,45832.927
20170201,21,43410.123
20170201,22,40388.729
20170201,23,36329.453
20170201,24,32329.322
20170202,1,28879.222
20170202,2,27115.101
20170202,3,26287.638
20170202,4,26117.433
20170202,5,26605.29
20170202,6,28303.704
20170202,7,33516.58
20170202,8,40095.578
20170202,9,43655.2
20170202,10,45358.133
20170202,11,44461.196
20170202,12,43871.189
20170202,13,41622.869
20170202,14,41021.192
20170202,15,42044.573
20170202,16,42723.855
20170202,17,43792.906
20170202,18,44109.096
20170202,19,45981.744
20170202,20,44557.81
20170202,21,42335.044
20170202,22,39381.94
20170202,23,35459.954
20170202,24,31379.769
20170203,1,28546.114
20170203,2,26806.77
20170203,3,26017.823
20170203,4,25702.901
20170203,5,26415.699
20170203,6,28154.671
20170203,7,32846.994
20170203,8,39975.288
20170203,9,43331.686
20170203,10,44037.429
20170203,11,43405.569
20170203,12,42764.979
20170203,13,40919.406
20170203,14,39857.971
20170203,15,40505.465
20170203,16,41147.232
20170203,17,41980.767
20170203,18,43397.658
20170203,19,44806.233
20170203,20,43782.714
20170203,21,40676.247
20170203,22,37743.243
20170203,23,34254.047
20170203,24,30757.413
20170204,1,28603.615
20170204,2,27036.531
20170204,3,25819.646
20170204,4,25411.872
20170204,5,25683.618
20170204,6,26316.088
20170204,7,27936.814
20170204,8,32104.364
20170204,9,33778.018
20170204,10,35155.714
20170204,11,34609.589
20170204,12,33599.925
20170204,13,32483.59
20170204,14,30738.924
20170204,15,30501.996
20170204,16,30832.91
20170204,17,31838.562
20170204,18,34928.888
20170204,19,37720.37
20170204,20,38121.331
20170204,21,36111.227
20170204,22,33338.745
20170204,23,31010.8
20170204,24,28401.099
20170205,1,26060.6
20170205,2,24412.172
20170205,3,23258.921
20170205,4,22716.131
20170205,5,22791.446
20170205,6,23286.676
20170205,7,24281.224
20170205,8,25655.75
20170205,9,27099.877
20170205,10,29082.626
20170205,11,29976.89
20170205,12,30508.652
20170205,13,30167.697
20170205,14,28595.282
20170205,15,27903.22
20170205,16,28310.138
20170205,17,28687.321
20170205,18,31252.117
20170205,19,34116.444
20170205,20,34457.507
20170205,21,33771.32
20170205,22,31946.757
20170205,23,29378.278
20170205,24,26435.076
20170206,1,24594.106
20170206,2,23264.453
20170206,3,22571.33
20170206,4,22386.53
20170206,5,22929.844
20170206,6,25154.654
20170206,7,30727.189
20170206,8,37647.64
20170206,9,41978.064
20170206,10,43329.481
20170206,11,43048.806
20170206,12,42906.642
20170206,13,40950.35
20170206,14,40335.692
20170206,15,41700.075
20170206,16,42570.803
20170206,17,42833.077
20170206,18,43612.358
20170206,19,44839.599
20170206,20,43298.3
20170206,21,41036.27
20170206,22,38237.154
20170206,23,34206.397
20170206,24,30655.796
20170207,1,28027.538
20170207,2,26277.533
20170207,3,25584.189
20170207,4,25298.065
20170207,5,25480.191
20170207,6,27402.534
20170207,7,32884.84
20170207,8,38874.078
20170207,9,43369.779
20170207,10,44770
20170207,11,44156.794
20170207,12,43594.326
20170207,13,41334.065
20170207,14,40710.968
20170207,15,42464.326
20170207,16,43380.653
20170207,17,43712.851
20170207,18,44697.029
20170207,19,45826.065
20170207,20,44078.048
20170207,21,41349.101
20170207,22,38707.533
20170207,23,34646.244
20170207,24,30896.349
20170208,1,27714.993
20170208,2,26099.033
20170208,3,25454.235
20170208,4,25243.975
20170208,5,25454.773
20170208,6,27228.085
20170208,7,31821.204
20170208,8,38157.728
20170208,9,42941.369
20170208,10,44616.948
20170208,11,44081.264
20170208,12,43598.902
20170208,13,41006.748
20170208,14,40306.945
20170208,15,41664.965
20170208,16,42216.82
20170208,17,42881.18
20170208,18,44343.349
20170208,19,45232.608
20170208,20,43500.534
20170208,21,41002.174
20170208,22,38587.642
20170208,23,34261.62
20170208,24,30700.607
20170209,1,28992.695
20170209,2,27350.606
20170209,3,26887.917
20170209,4,26063.93
20170209,5,26456.893
20170209,6,27927.963
20170209,7,33304.288
20170209,8,38927.623
20170209,9,43652.567
20170209,10,44884.678
20170209,11,44554.977
20170209,12,44114.16
20170209,13,41676.415
20170209,14,41051.075
20170209,15,42250.788
20170209,16,42905.297
20170209,17,43488.251
20170209,18,44858.052
20170209,19,45761.018
20170209,20,44213.326
20170209,21,41779.498
20170209,22,38280.391
20170209,23,34659.354
20170209,24,31182.467
20170210,1,28821.967
20170210,2,26773.611
20170210,3,25918.546
20170210,4,25813.694
20170210,5,25918.921
20170210,6,27584.975
20170210,7,32588.052
20170210,8,39120.73
20170210,9,43326.814
20170210,10,44138.028
20170210,11,44432.857
20170210,12,43883.138
20170210,13,41605.108
20170210,14,40932.224
20170210,15,42093.24
20170210,16,42346.137
20170210,17,42813.816
20170210,18,44359.153
20170210,19,45284.934
20170210,20,43990.894
20170210,21,41032.637
20170210,22,37958.84
20170210,23,34377.432
20170210,24,30949.9
20170211,1,29307.481
20170211,2,27317.408
20170211,3,26138.88
20170211,4,25539.447
20170211,5,25504.681
20170211,6,25898.795
20170211,7,28434.784
20170211,8,31403.221
20170211,9,34600.81
20170211,10,35839.668
20170211,11,35744.454
20170211,12,35019.804
20170211,13,33453.877
20170211,14,31934.077
20170211,15,31464.036
20170211,16,31834.621
20170211,17,32826.074
20170211,18,35446.627
20170211,19,38139.982
20170211,20,38317.388
20170211,21,36405.706
20170211,22,33926.401
20170211,23,31132.119
20170211,24,28386.814
20170212,1,26467.04
20170212,2,24577.027
20170212,3,23393.111
20170212,4,22314.061
20170212,5,22169.686
20170212,6,22545.134
20170212,7,23824.034
20170212,8,24665.99
20170212,9,26967.726
20170212,10,28888.238
20170212,11,29969.574
20170212,12,30222.79
20170212,13,29750.647
20170212,14,28221.431
20170212,15,27668.327
20170212,16,27737.405
20170212,17,28371.595
20170212,18,30849.306
20170212,19,33860.482
20170212,20,34651.968
20170212,21,33704.044
20170212,22,31966.233
